coin,date,sc,state_final,armed_t,failed_t,hit_t
BTC,2022-11-02,2,failed,1.6673949e+18,1.6674084e+18,
BTC,2022-11-03,1,armed,1.6674822e+18,,
BTC,2022-11-03,2,pending,,,
BTC,2022-11-04,1,hit,1.6675677e+18,,1.6675686e+18
BTC,2022-11-04,2,pending,,,
BTC,2022-11-07,1,pending,,,
BTC,2022-11-07,2,pending,,,
BTC,2022-11-08,1,hit,1.6679169e+18,,1.6679214e+18
BTC,2022-11-09,1,failed,1.6680033e+18,1.6680051e+18,
BTC,2022-11-10,1,hit,1.6680897e+18,,1.6680906e+18
BTC,2022-11-11,1,hit,1.6681761e+18,,1.668177e+18
BTC,2022-11-11,2,pending,,,
BTC,2022-11-14,1,armed,1.6684353e+18,,
BTC,2022-11-14,2,pending,,,
BTC,2022-11-15,1,failed,1.6685271e+18,1.668537e+18,
BTC,2022-11-15,2,armed,1.6685379e+18,,
BTC,2022-11-16,1,hit,1.6686081e+18,,1.6686099e+18
BTC,2022-11-16,2,pending,,,
BTC,2022-11-17,1,hit,1.668699e+18,,1.6687053e+18
BTC,2022-11-17,2,pending,,,
BTC,2022-11-18,1,pending,,,
BTC,2022-11-18,2,hit,1.6687827e+18,,1.6687845e+18
BTC,2022-11-21,1,armed,1.6690473e+18,,
BTC,2022-11-21,2,failed,1.669041e+18,1.6690473e+18,
BTC,2022-11-22,1,hit,1.6691265e+18,,1.669131e+18
BTC,2022-11-22,2,pending,,,
BTC,2022-11-23,1,armed,1.6692129e+18,,
BTC,2022-11-23,2,pending,,,
BTC,2022-11-24,1,pending,,,
BTC,2022-11-24,2,armed,1.6693065e+18,,
BTC,2022-11-25,1,armed,1.6693857e+18,,
BTC,2022-11-25,2,pending,,,
BTC,2022-11-28,1,failed,1.6696467e+18,1.6696521e+18,
BTC,2022-11-28,2,pending,,,
BTC,2022-11-29,1,pending,,,
BTC,2022-11-29,2,pending,,,
BTC,2022-11-30,1,armed,1.6698177e+18,,
