coin,date,lean_dir,lean_strength,lean_basis
BTC,2022-03-25,down,slight_lean,A6b
BTC,2022-03-28,up,slight_lean,A6b
BTC,2022-03-29,down,slight_lean,A6b
BTC,2022-03-30,down,slight_lean,A6b
BTC,2022-03-31,up,slight_lean,A6b
BTC,2022-04-01,up,slight_lean,A6b
BTC,2022-04-04,down,slight_lean,A6b
BTC,2022-04-05,down,slight_lean,A6b
BTC,2022-04-06,up,slight_lean,A6b
BTC,2022-04-07,up,slight_lean,A6b
BTC,2022-04-08,down,slight_lean,A6b
BTC,2022-04-11,up,slight_lean,A6b
BTC,2022-04-12,up,slight_lean,A6b
BTC,2022-04-13,up,slight_lean,A6b
BTC,2022-04-14,down,slight_lean,A6b
BTC,2022-04-15,up,slight_lean,A6b
BTC,2022-04-18,up,slight_lean,A6b
BTC,2022-04-19,down,slight_lean,A6b
BTC,2022-04-20,down,slight_lean,A6b
BTC,2022-04-21,up,slight_lean,A6b
BTC,2022-04-22,up,slight_lean,A6b
BTC,2022-04-25,up,slight_lean,A6b
BTC,2022-04-26,down,slight_lean,A6b
BTC,2022-04-27,up,slight_lean,A6b
BTC,2022-04-28,up,slight_lean,A6b
BTC,2022-04-29,down,slight_lean,A6b
BTC,2022-05-02,up,slight_lean,A6b
BTC,2022-05-03,down,slight_lean,A6b
BTC,2022-05-04,down,slight_lean,A6b
BTC,2022-05-05,down,slight_lean,A6b
BTC,2022-05-06,up,slight_lean,A6b
BTC,2022-05-09,up,slight_lean,A6b
BTC,2022-05-10,up,slight_lean,A6b
BTC,2022-05-11,down,slight_lean,A6b
BTC,2022-05-12,up,slight_lean,A6b
BTC,2022-05-13,up,slight_lean,A6b
BTC,2022-05-16,down,slight_lean,A6b
BTC,2022-05-17,up,slight_lean,A6b
BTC,2022-05-18,down,slight_lean,A6b
BTC,2022-05-19,up,slight_lean,A6b
BTC,2022-05-20,up,slight_lean,A6b
BTC,2022-05-23,up,slight_lean,A6b
BTC,2022-05-24,down,slight_lean,A6b
BTC,2022-05-25,up,slight_lean,A6b
BTC,2022-05-26,down,slight_lean,A6b
BTC,2022-05-27,down,slight_lean,A6b
BTC,2022-05-30,down,slight_lean,A6b
BTC,2022-05-31,down,slight_lean,A6b
BTC,2022-06-01,up,slight_lean,A6b
BTC,2022-06-02,up,slight_lean,A6b
BTC,2022-06-03,down,slight_lean,A6b
BTC,2022-06-06,up,slight_lean,A6b
BTC,2022-06-07,down,slight_lean,A6b
BTC,2022-06-08,down,slight_lean,A6b
BTC,2022-06-09,up,slight_lean,A6b
BTC,2022-06-10,up,slight_lean,A6b
BTC,2022-06-13,up,slight_lean,A6b
BTC,2022-06-14,up,slight_lean,A6b
BTC,2022-06-15,down,slight_lean,A6b
BTC,2022-06-16,down,slight_lean,A6b
BTC,2022-06-17,up,slight_lean,A6b
BTC,2022-06-20,down,slight_lean,A6b
BTC,2022-06-21,down,slight_lean,A6b
BTC,2022-06-22,down,slight_lean,A6b
BTC,2022-06-23,up,slight_lean,A6b
BTC,2022-06-24,down,slight_lean,A6b
BTC,2022-06-27,down,slight_lean,A6b
BTC,2022-06-28,up,slight_lean,A6b
BTC,2022-06-29,up,slight_lean,A6b
BTC,2022-06-30,down,slight_lean,A6b
BTC,2022-07-01,up,slight_lean,A6b
BTC,2022-07-04,down,slight_lean,A6b
BTC,2022-07-05,down,slight_lean,A6b
BTC,2022-07-06,down,slight_lean,A6b
BTC,2022-07-07,down,slight_lean,A6b
BTC,2022-07-08,down,slight_lean,A6b
BTC,2022-07-11,down,slight_lean,A6b
BTC,2022-07-12,up,slight_lean,A6b
BTC,2022-07-13,up,slight_lean,A6b
BTC,2022-07-14,up,slight_lean,A6b
BTC,2022-07-15,down,slight_lean,A6b
BTC,2022-07-18,down,slight_lean,A6b
BTC,2022-07-19,up,slight_lean,A6b
BTC,2022-07-20,down,slight_lean,A6b
BTC,2022-07-21,down,slight_lean,A6b
BTC,2022-07-22,down,slight_lean,A6b
BTC,2022-07-25,up,slight_lean,A6b
